Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam
Tên đăng nhập:,tovasa_store
Thời gian tạo báo cáo:,08/06/2022 10:38
Khoảng thời gian,01/05/2022 - 31/05/2022
Sản phẩm,Giày sandal siêu nhân người nhện bé trai dép quai hậu đi học cho bé mềm nhẹ SDA3
Trạng thái:,Đang chạy
Mã Người bán,145598609	
Mã sản phẩm,15449244791	

Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
52	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Sandal xuất xịn,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,6.0,0.0,0.0,0.00%,0.00%
53	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép quai hậu trắng cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
54	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép bobdog cho bé,14,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,13.642857142857142,0.0,0.0,0.00%,0.00%
55	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dep quai hậu hinh oto be trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
56	,giày sandal siêu nhân cho bé trai,thông thường,Từ khóa mở rộng,Dép siêu nhân cho người lớn,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
57	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,dép rọ nhựa,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,32.5,0.0,0.0,0.00%,0.00%
58	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép bitis quai hậu,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.00%,0.00%
59	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,giày cho bé trai 1 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
60	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,giày lolita  cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,16.0,0.0,0.0,0.00%,0.00%
61	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,rọ bé trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,25.0,0.0,0.0,0.00%,0.00%
62	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,dép sadan bé gái,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,46.0,0.0,0.0,0.00%,0.00%
63	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,dép crocs sandal cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,53.0,0.0,0.0,0.00%,0.00%
64	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép đế trấu cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,16.0,0.0,0.0,0.00%,0.00%
65	,giày sandal siêu nhân cho bé trai,thông thường,Từ khóa mở rộng,dép cho bé trai,2,1,50.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,982.0,43.0,0.0,0.0,0.00%,0.00%
66	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dep tre con,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
67	,sandal người nhện,thông thường,Từ khóa mở rộng,vỉ 12 siêu nhân người nhện,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.00%,0.00%
68	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,sandal siêu nhẹ cho bé,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.00%,0.00%
