Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam
Tên đăng nhập:,tovasa_store
Thời gian tạo báo cáo:,08/06/2022 09:49
Khoảng thời gian,26/05/2022 - 08/06/2022
Sản phẩm,Giày cao cổ bé trai bé gái bốt đẹp cho bé KIKNE JDA151
Trạng thái:,Đang chạy
Mã Người bán,145598609	
Mã sản phẩm,8780736071	

Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
44	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày nike cổ cao,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
45	,giày cho bé trai,thông thường,Từ khóa mở rộng,giay cho be trai 5 tuoi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
46	,giày cho bé trai,thông thường,Từ khóa mở rộng,giày lười  trẻ em,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.00%,0.00%
47	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày của mbappe,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
48	,giày xinh cho bé,thông thường,Từ khóa mở rộng,giày t a,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
49	,giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Boot đẹp,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
50	,giày cho bé trai,thông thường,Từ khóa mở rộng,giày nhựa trẻ em,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,6.0,0.0,0.0,0.00%,0.00%
51	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé trai mùa hè,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
52	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,bốt cổ cao,7,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,6.714285714285714,0.0,0.0,0.00%,0.00%
53	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày có chữ N,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
54	,giày thể thao bé gái,thông thường,Từ khóa chính xác,giày thể thao bé gái,21,1,4.76%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,913.0,3.2857142857142856,0.0,0.0,0.00%,0.00%
55	,giày cao cổ bé gái,thông thường,Từ khóa mở rộng,Giày tặng mẹ,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
56	,giày cho bé trai,thông thường,Từ khóa mở rộng,tông bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
57	,giày cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé trai 5t,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
58	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày sơ sinh bé trai,9,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,17.666666666666668,0.0,0.0,0.00%,0.00%
59	,giày thể thao cho bé trai 5 tuổi,thông thường,Từ khóa mở rộng,giày thể thao cho bé trai 8 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
60	,giày cho bé trai,thông thường,Từ khóa mở rộng,Dép xăng đan bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
61	,giày cho bé trai,thông thường,Từ khóa mở rộng,giày like,2,1,50.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,884.0,1.0,0.0,0.0,0.00%,0.00%
62	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,x shop new giày,13,3,23.08%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,2612.0,1.3076923076923077,0.0,0.0,0.00%,0.00%
63	,giầy cho bé gái,thông thường,Từ khóa chính xác,Giày cho be gai,9,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.00%,0.00%
64	,giầy cho bé gái,thông thường,Từ khóa chính xác,giay cho bé gai,4,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.75,0.0,0.0,0.00%,0.00%
65	,giày cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé trai dán,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
66	,giày cho bé trai,thông thường,Từ khóa mở rộng,Giày mọi bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,18.0,0.0,0.0,0.00%,0.00%
67	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày 1980,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
68	,giày jordan trẻ em,thông thường,Từ khóa mở rộng,giầy bata,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.00%,0.00%
69	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,bốt,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,32.5,0.0,0.0,0.00%,0.00%
70	,giày thể thao bé gái,thông thường,Từ khóa chính xác,Giày Thế Thao Bé Gái,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,6.5,0.0,0.0,0.00%,0.00%
71	,giày cho bé trai,thông thường,Từ khóa mở rộng,Giay cho bé trai 6 tuoi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.00%,0.00%
72	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày vans cho bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
73	,giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày cho Búp bê,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
74	,giày xinh cho bé,thông thường,Từ khóa mở rộng,giày 550,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
75	,giày tre em bé trai,thông thường,Từ khóa chính xác,giày trẻ em bé trai,1,1,100.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,390.0,10.0,0.0,0.0,0.00%,0.00%
76	,giày cho bé trai,thông thường,Từ khóa mở rộng,giày em be,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.00%,0.00%
77	,giày xinh cho bé,thông thường,Từ khóa mở rộng,giay hm bé gái,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
78	,giày cho bé trai,thông thường,Từ khóa mở rộng,Bốt bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
79	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày bata cho bé gái,3,1,33.33%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,912.0,0.0,0.0,0.0,0.00%,0.00%
80	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày cho bé sơ sinh 0 6 tháng,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,26.0,0.0,0.0,0.00%,0.00%
81	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giầy mùa hè cho bé trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.00%,0.00%
82	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày vải cho bé,4,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,38.25,0.0,0.0,0.00%,0.00%
83	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giày cho be trai 1 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
84	,giày cao cổ bé gái,thông thường,Từ khóa mở rộng,giày cho bé gái 9t,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,40.0,0.0,0.0,0.00%,0.00%
85	,giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày bốt bé,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
86	,giầy cho bé trai,thông thường,Từ khóa mở rộng,giầy bé trai 6 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.00%,0.00%
